-1.48,-10.5244,9.9176,-0.5026,1
-2.6649,-12.812999999999999,12.6689,-1.9082,1
-0.62684,-6.301,4.7843,1.1059999999999999,1
0.518,0.25865,-0.84085,0.9611799999999999,1
0.64376,3.764,-4.4738,-4.0483,1
-2.9821,4.1986,-0.5898,-3.9642,1
-1.4628,-1.5706,2.4357,0.49826000000000004,1
-1.7101,-8.7903,7.9735,-0.45475,1
-1.5572,-9.8808,8.1088,-1.0806,1
0.74428,-3.7723,1.6131,1.5754,1
2.0177,1.7982,-2.9581,0.2099,1
1.1640000000000001,3.9130000000000003,-4.5544,-3.8672,1
-4.3667,6.0692,0.57208,-5.4668,1
-2.5919,-1.0553,3.8949,0.77757,1
-1.8046,-6.8141,6.7019,1.1681,1
-0.71868,-5.7154,3.8298,1.0233,1
1.4378,0.66837,-2.0267,1.0271,1
2.1943,4.5503,-4.976,-2.7254,1
0.7376,4.8525,-4.7986,-5.6659,1
-5.6370000000000005,8.1261,0.13080999999999998,-5.0142,1
-3.0193,1.7775,0.73745,-0.45346000000000003,1
-1.6706,-2.09,1.584,0.71162,1
-0.1269,-1.1505,-0.9513799999999999,0.57843,1
1.2198,2.0982,-3.1954,0.12843,1
1.4501,3.6067,-4.0557,-1.5966,1
-0.40857,3.0977,-2.9607,-2.6892,1
-3.8952,3.8157,-0.31304,-3.8194,1
-6.3679,8.0102,0.4247,-3.2207,1
-4.1429,2.7749,0.68261,-0.7198399999999999,1
-2.6864,-0.097265,0.61663,0.061191999999999996,1
-1.0555,0.79459,-1.6968,-0.46768000000000004,1
-0.29858,2.4769,-2.9512,-0.66165,1
-0.49948000000000004,1.7734,-2.2469,-0.68104,1
-1.9881,0.99945,-0.28562,-0.70044,1
-1.9389,1.5706,0.045979,-1.122,1
-1.4375,-1.8624,4.026,0.5512699999999999,1
-3.1875,-7.5756,11.8678,-0.57889,1
-4.6765,-5.6636,10.969000000000001,-0.33449,1
-2.0285,3.8468,-0.63435,-1.175,1
0.26637,0.73252,-0.67891,0.03533,1
-1.7589,-6.4624,8.4773,0.31981,1
-3.5985,-13.6593,17.6052,-2.4927,1
-3.3582,-7.2404,11.4419,-0.57113,1
-2.3629,-0.10554000000000001,1.9336,1.1358,1
-2.1802,3.3791,-1.2256,-2.6621,1
-0.40951,-0.15521,0.060545,-0.08880700000000001,1
-2.2918,-7.257000000000001,7.9597,0.9211,1
-4.0214,-12.8006,15.6199,-0.95647,1
-3.3884,-8.215,10.3315,0.98187,1
-2.0046,-0.49456999999999995,1.3330000000000002,1.6543,1
-1.7063,2.7956,-2.378,-2.3491,1
-1.6386,3.3584,-1.7302,-3.5646,1
-0.41645,0.32487,-0.33616999999999997,-0.36036,1
-1.5877,-6.6072,5.8022,0.31593000000000004,1
-2.5961,-9.349,9.7942,-0.28018000000000004,1
-1.5228,-6.4789,5.7568,0.87325,1
-0.53072,-0.097265,-0.21793,1.0426,1
-0.49081,2.8452,-3.6436,-3.1004,1
-6.5773,6.8017,0.85483,-7.5344,1
-2.4621,2.7645,-0.62578,-2.8573,1
-1.3995,-1.9162,2.5154,0.59912,1
-2.3221,-9.3304,9.232999999999999,-0.79871,1
-3.73,-12.9723,12.9817,-2.6839999999999997,1
-1.6988,-7.1163,5.7902,0.16723,1
-0.26654,-0.64562,-0.42013999999999996,0.89136,1
0.33325,3.3108,-4.5081,-4.012,1
-4.2091,4.7283,-0.49126000000000003,-5.2159,1
-2.3142,-0.68494,1.9833,-0.44828999999999997,1
-2.4835,-7.4494,6.8964,-0.64484,1
-2.7611,-10.5099,9.0239,-1.9547,1
-0.36025,-4.449,2.1067,0.9430799999999999,1
1.0117,0.9022,-2.3506,0.42713999999999996,1
0.9670799999999999,3.8426,-4.9314,-4.1323,1
-5.2049,7.2589999999999995,0.070827,-7.3004,1
-3.3203,-0.026910000000000003,2.9618,-0.44958000000000004,1
-2.565,-5.7899,6.0122,0.046968,1
-1.5951,-6.572,4.7689,-0.9435399999999999,1
0.7049,0.17174,-1.7859,0.36119,1
1.7331,3.9544,-4.7412,-2.5017,1
0.6818,4.8504,-5.2133,-6.1043,1
-6.3364,9.2848,0.014275,-6.7844,1
-3.8053,2.4273,0.6809,-1.0871,1
-2.1979,-2.1252,1.7151,0.45171000000000006,1
-0.87874,-2.2121,-0.051701,0.099985,1
0.7406699999999999,1.7299,-3.1963,-0.1457,1
0.9829600000000001,3.4226,-3.9692,-1.7116,1
-0.3489,3.1929,-3.4054,-3.1832,1
-3.8552,3.5219,-0.38415,-3.8608,1
-6.9599,8.9931,0.2182,-4.572,1
-4.7462,3.1205,1.075,-1.2966,1
-3.2051,-0.14279,0.97565,0.045675,1
-1.7549,-0.080711,-0.75774,-0.3707,1
-0.59587,2.4811,-2.8673,-0.89828,1
-0.8954200000000001,2.0279,-2.3652,-1.2746,1
-2.0754,1.2767,-0.6420600000000001,-1.2642,1
-3.2778,1.8023,0.1805,-2.3931,1
-2.2183,-1.254,2.9986,0.36378,1
-3.5895,-6.572,10.5251,-0.16380999999999998,1
-5.0477,-5.8023,11.244000000000002,-0.3901,1
-3.5741,3.944,-0.07912000000000001,-2.1203,1
-0.7351,1.7361,-1.4938,-1.1582,1
-2.2617,-4.7428,6.3489,0.11162000000000001,1
-4.244,-13.0634,17.1116,-2.8017,1
-4.0218,-8.304,12.555,-1.5099,1
-3.0201,-0.6725300000000001,2.7056,0.85774,1
-2.4941,3.5447,-1.3721,-2.8483,1
-0.83121,0.039307,0.053689999999999995,-0.23105,1
-2.5665,-6.8824,7.5416,0.7077399999999999,1
-4.4018,-12.9371,15.6559,-1.6806,1
-3.7573,-8.2916,10.3032,0.38059,1
-2.4725,-0.40145,1.4855,1.1189,1
-1.9725,2.8825,-2.3086,-2.3724,1
-2.0149,3.6874,-1.9385,-3.8918,1
-0.82053,0.65181,-0.48868999999999996,-0.5271600000000001,1
-1.7886,-6.3486,5.6154,0.42583999999999994,1
-2.9138,-9.4711,9.7668,-0.60216,1
-1.8343,-6.5907,5.6429,0.54998,1
-0.8734,-0.033118,-0.20165,0.55774,1
-0.7034600000000001,2.957,-3.5947,-3.1457,1
-6.7387,6.9879,0.67833,-7.5887,1
-2.7723,3.2777,-0.9351,-3.1457,1
-1.6641,-1.3678,1.9969999999999999,0.52283,1
-2.4349,-9.2497,8.9922,-0.5000100000000001,1
-3.793,-12.7095,12.7957,-2.825,1
-1.9551,-6.9756,5.5383,-0.12889,1
-0.6907800000000001,-0.5007699999999999,-0.35417,0.47498,1
0.025013,3.3998,-4.4327,-4.2655,1
-4.3967,4.9601,-0.6489199999999999,-5.4719,1
-2.456,-0.24418,1.4041,-0.45863000000000004,1
-2.62,-6.8555,6.2169,-0.62285,1
-2.9662,-10.3257,8.783999999999999,-2.1138,1
-0.7149399999999999,-4.4448,2.2241,0.49826000000000004,1
0.6005,0.99945,-2.2126,0.097399,1
0.61652,3.8944,-4.7275,-4.3948,1
-5.4414,7.2363,0.10937999999999999,-7.5642,1
-3.5798,0.45937,2.3457,-0.45733999999999997,1
-2.7769,-5.6967,5.9179,0.37671,1
-1.8356,-6.7562,5.0585,-0.5504399999999999,1
0.30080999999999997,0.17381,-1.7542,0.48921000000000003,1
1.3403,4.1323,-4.7018,-2.5987,1
0.26877,4.987,-5.1508,-6.3913,1
-6.5235,9.6014,-0.25392,-6.9642,1
-4.0679,2.4955,0.79571,-1.1039,1
-2.5639999999999996,-1.7051,1.5026,0.32757,1
-1.3414,-1.9162,-0.15538,-0.11984000000000002,1
0.23874,2.0879,-3.3522,-0.6655300000000001,1
0.6212,3.6771,-4.0771,-2.0711,1
-0.7784800000000001,3.4019,-3.4859,-3.5569,1
-4.1244,3.7909,-0.6532,-4.1802,1
-7.0421,9.2,0.25933,-4.6832,1
-4.9462,3.5716,0.82742,-1.4957,1
-3.5359,0.30417,0.6569,-0.2957,1
-2.0662,0.16967000000000002,-1.0054,-0.82975,1
-0.88728,2.8080000000000003,-3.1432,-1.2035,1
-1.0941,2.3072,-2.5237,-1.4453,1
-2.4458,1.6285,-0.88541,-1.4802,1
-3.551,1.8955,0.1865,-2.4409,1
-2.2811,-0.85669,2.7185,0.044382,1
-3.6053,-5.974,10.0916,-0.8284600000000001,1
-5.0676,-5.1877,10.4266,-0.86725,1
-3.9204,4.0723,-0.23678000000000002,-2.1151,1
-1.1306,1.8458,-1.3575,-1.3806,1
-2.4561,-4.5566,6.4534,-0.056478999999999994,1
-4.4775,-13.0303,17.0834,-3.0345,1
-4.1958,-8.1819,12.1291,-1.6017,1
-3.38,-0.7077,2.5325,0.71808,1
-2.4365,3.6026,-1.4166,-2.8948,1
-0.77688,0.13036,-0.031137,-0.35389,1
-2.7083,-6.8266,7.5339,0.59007,1
-4.5531,-12.5854,15.4417,-1.4983,1
-3.8894,-7.8322,9.8208,0.47498,1
-2.5084,-0.22763000000000003,1.4880000000000002,1.2069,1
-2.1652,3.0211,-2.4132,-2.4241,1
-1.8974,3.5074,-1.7842,-3.8491,1
-0.62043,0.5587,-0.38587,-0.66423,1
-1.8387,-6.301,5.6506,0.19567,1
-3.0,-9.1566,9.5766,-0.73018,1
-1.9116,-6.1603,5.606,0.48533000000000004,1
-1.005,0.08483099999999999,-0.2462,0.45688,1
-0.87834,3.2569999999999997,-3.6778,-3.2944,1
-6.651,6.7934,0.68604,-7.5887,1
-2.5463,3.1101,-0.8322799999999999,-3.0358,1
-1.4377,-1.432,2.1144,0.42067,1
-2.4554,-9.0407,8.862,-0.8698299999999999,1
-3.9411,-12.8792,13.0597,-3.3125,1
-2.1241,-6.8969,5.5992,-0.47156000000000003,1
-0.74324,-0.32902,-0.42785,0.23317,1
-0.071503,3.7412,-4.5415,-4.2526,1
-4.2333,4.9166,-0.49212,-5.3207,1
-2.3675,-0.43663,1.692,-0.43018,1
-2.5526,-7.3625,6.9255,-0.66811,1
-3.0986,-10.4602,8.9717,-2.3427,1
-0.8980899999999999,-4.4862,2.2009,0.50731,1
0.5623199999999999,1.0015,-2.2726,-0.0060486,1
0.5393600000000001,3.8944,-4.8166,-4.3418,1
-5.3012,7.3915,0.029699,-7.3987,1
-3.3553,0.35591,2.6473,-0.37846,1
-2.7908,-5.7133,5.952999999999999,0.45946000000000004,1
-1.9983,-6.6072,4.8254,-0.41984,1
0.15423,0.11794,-1.6823,0.59524,1
1.208,4.0744,-4.7635,-2.6129,1
0.2952,4.8856,-5.149,-6.2323,1
-6.4247,9.5311,0.022844,-6.8517,1
-3.9933,2.6218,0.62863,-1.1595,1
-2.659,-1.6058,1.3647,0.16464,1
-1.4094,-2.1252,-0.10397,-0.19225,1
0.11032,1.9741,-3.3668,-0.65259,1
0.52374,3.6439999999999997,-4.0746,-1.9909,1
-0.76794,3.4598,-3.4405,-3.4276,1
-3.9698,3.6812,-0.6000800000000001,-4.0133,1
